id,chain,block_number,block_timestamp,transaction_hash,transaction_index,log_index,pool_address,fee_tier,sender,recipient,amount0_raw,amount1_raw,sqrt_price_x96,liquidity,tick,token0,token1,token0_symbol,token0_decimals,token1_symbol,token1_decimals,amount0,amount1,token1_per_token0,base_amount,quote_amount,execution_price,pool_price,swap_usd,direction,timestamp,fee_rate,fee_bps
6902,base,50126043,1787041433,2969732837f33eace078ecc97b15861c002c75c57f7f6874683c9678ed6ebd41,80,375,0xd0b53d9277642d899df5c87a3966a349a798f224,500,0x83d55acdc72027ed339d267eebaf9a41e47490d5,0x51c72848c68a965f66fa7a88855f9f7784502a7f,191368774608484128,-362818839,3450610295289930734194051,1097704048242966343,-200841,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,WETH,18,USDC,6,0.1913687746084841,-362.818839,1896.848563539713,0.1913687746084841,-362.818839,1895.9145228487807,1896.848563539713,362.818839,WETH_IN,2026-08-18 08:23:53+00:00,0.0005,5.0
1,base,50126043,1787041433,2097c6bb9bdfb3206b5b6f14df686016515ce7856664b8874070cb9003553a9c,98,400,0xb4cb800910b228ed3d0834cf79d697127bbb00e5,100,0x83d55acdc72027ed339d267eebaf9a41e47490d5,0x51c72848c68a965f66fa7a88855f9f7784502a7f,134021998074756752,-254088771,3449836708337189541373702,170020078104314033,-200846,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,WETH,18,USDC,6,0.1340219980747567,-254.088771,1895.9981558204947,0.1340219980747567,-254.088771,1895.8736226143312,1895.9981558204947,254.088771,WETH_IN,2026-08-18 08:23:53+00:00,0.0001,1.0
6903,base,50126043,1787041433,87aba1735b97d8129135c08cb7171ef9b089ece47f710e042ccfb80c2aed377d,104,428,0xd0b53d9277642d899df5c87a3966a349a798f224,500,0x83d55acdc72027ed339d267eebaf9a41e47490d5,0x51c72848c68a965f66fa7a88855f9f7784502a7f,869276790208660352,-1648005176,3450491348455230000042472,1097704048242966343,-200842,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,WETH,18,USDC,6,0.8692767902086603,-1648.005176,1896.7177923285587,0.8692767902086603,-1648.005176,1895.8347842284093,1896.7177923285587,1648.005176,WETH_IN,2026-08-18 08:23:53+00:00,0.0005,5.0
2,base,50126043,1787041433,d1f5f9262db6295a8b78aa078559f0544c89f82d384de0b334be3bda1fceab59,170,699,0xb4cb800910b228ed3d0834cf79d697127bbb00e5,100,0xc774f0643949d72bc72c470b382b68006a507c6f,0xc774f0643949d72bc72c470b382b68006a507c6f,18064131279348569,-34245976,3449820749952746946688301,170020078104314033,-200846,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,WETH,18,USDC,6,0.0180641312793485,-34.245976,1895.980614701857,0.0180641312793485,-34.245976,1895.799774171868,1895.980614701857,34.245976,WETH_IN,2026-08-18 08:23:53+00:00,0.0001,1.0
3,base,50126043,1787041433,64dfd0b7aba1819b102950e755dc79a1d7fed1e39f74272f4fc58d071839990d,207,784,0xb4cb800910b228ed3d0834cf79d697127bbb00e5,100,0xc774f0643949d72bc72c470b382b68006a507c6f,0xc774f0643949d72bc72c470b382b68006a507c6f,22441067102361763,-42543328,3449800925060203437767419,170020078104314033,-200846,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,WETH,18,USDC,6,0.0224410671023617,-42.543328,1895.9588237123107,0.0224410671023617,-42.543328,1895.7800805970865,1895.9588237123107,42.543328,WETH_IN,2026-08-18 08:23:53+00:00,0.0001,1.0
6904,base,50126046,1787041439,45138ea7d72e7920be20086a00308e42e63561bcce33bd52a1e553ff4ab12069,106,422,0xd0b53d9277642d899df5c87a3966a349a798f224,500,0x83d55acdc72027ed339d267eebaf9a41e47490d5,0x51c72848c68a965f66fa7a88855f9f7784502a7f,1488559205830518016,-2821798474,3450287681621280505932464,1097704048242966343,-200843,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,WETH,18,USDC,6,1.488559205830518,-2821.798474,1896.493889661996,1.488559205830518,-2821.798474,1895.6575344449416,1896.493889661996,2821.798474,WETH_IN,2026-08-18 08:23:59+00:00,0.0005,5.0
4,base,50126046,1787041439,c1c84350af83cc207e450843ce1f4e2d60d771f280ae782eaca16f0ff41ba82f,121,437,0xb4cb800910b228ed3d0834cf79d697127bbb00e5,100,0x83d55acdc72027ed339d267eebaf9a41e47490d5,0x51c72848c68a965f66fa7a88855f9f7784502a7f,210905893606750432,-399807309,3449614617661018122317160,170020077955237329,-200847,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,WETH,18,USDC,6,0.2109058936067504,-399.807309,1895.754045739952,0.2109058936067504,-399.807309,1895.6668406121933,1895.754045739952,399.807309,WETH_IN,2026-08-18 08:23:59+00:00,0.0001,1.0
5,base,50126052,1787041451,95d1c962ea8a64d83d4b6909a511a94127b758488d5111240f1c586b8860f6b7,5,29,0xb4cb800910b228ed3d0834cf79d697127bbb00e5,100,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,0xdaa03f760333a86f2c42cafed465fe8804fc345d,3000000000000000,-5686689,3449611967703853946864288,170020077955237329,-200847,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,WETH,18,USDC,6,0.003,-5.686689,1895.7511331449853,0.003,-5.686689,1895.563,1895.7511331449853,5.686689,WETH_IN,2026-08-18 08:24:11+00:00,0.0001,1.0
9897,base,50126053,1787041453,5e2539105029d44bf69b9a142d2c23c03a6d4696261fdc0b6ecc7f80bc732303,90,422,0x6c561b446416e1a00e8e93e221854d6ea4171372,3000,0x2626664c2603336e57b271c5c0b26f421741e481,0xd0a40c6526acdebd4f6d87931098ff37a9f8e4bf,69300000000000000,-131123839,3451486637330849148169323,32493819528108429730,-200836,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,WETH,18,USDC,6,0.0693,-131.123839,1897.8121607486685,0.0693,-131.123839,1892.118888888889,1897.8121607486685,131.123839,WETH_IN,2026-08-18 08:24:13+00:00,0.003,30.0
6905,base,50126057,1787041461,3447f0118df7bc5dd8fa9d0efe57b4cfce797943176c3a81abbb95b88c89ecb9,75,327,0xd0b53d9277642d899df5c87a3966a349a798f224,500,0x6ff5693b99212da76ad316178a184ab56d299b43,0x6ff5693b99212da76ad316178a184ab56d299b43,-8321724565345616,15790000,3450288820714446608953405,1097704048242966343,-200843,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,WETH,18,USDC,6,-0.0083217245653456,15.79,1896.495141895888,-0.0083217245653456,15.79,1897.443237397537,1896.495141895888,15.79,WETH_OUT,2026-08-18 08:24:21+00:00,0.0005,5.0
